epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,100.891,0.63298,0.8987,0.81788,0.00421,0.47137,0.79255,0.78666,0.82242,0.73528,0.79255,0.78666,0.81941,0.72467,0.55574,1.40378,0.8413,0.0048,0,0.000963306,0.000963306,0.000963306
39,103.223,0.58652,0.81099,0.79594,0.00353,0.47062,0.77891,0.81469,0.86852,0.77145,0.77891,0.81469,0.86488,0.75891,0.52923,1.57668,0.80871,0.00423,0,0.000961322,0.000961322,0.000961322
40,105.586,0.57592,0.81721,0.80015,0.00344,0.47219,0.72565,0.85966,0.8712,0.787,0.72177,0.8549,0.86729,0.75163,0.47085,1.37928,0.76853,0.00377,0,0.000959289,0.000959289,0.000959289
41,107.882,0.55705,0.8099,0.76706,0.00352,0.42589,0.80142,0.77985,0.8545,0.77286,0.79688,0.77549,0.84515,0.76095,0.47098,1.183,0.73456,0.00383,0,0.000957205,0.000957205,0.000957205
42,110.378,0.56942,0.75499,0.74567,0.00328,0.44289,0.7502,0.79709,0.85092,0.75469,0.74475,0.79233,0.84326,0.74378,0.51121,1.10279,0.70685,0.00425,0,0.000955072,0.000955072,0.000955072
43,112.846,0.56371,0.83395,0.75069,0.00323,0.38787,0.77557,0.7997,0.87847,0.77775,0.77335,0.79431,0.87271,0.77993,0.53263,1.03679,0.73081,0.00456,0,0.000952889,0.000952889,0.000952889
44,115.28,0.58628,0.84695,0.75724,0.00343,0.38568,0.74521,0.79287,0.8562,0.77291,0.78096,0.76496,0.85679,0.76865,0.48265,0.96427,0.71707,0.00404,0,0.000950658,0.000950658,0.000950658
45,117.632,0.58137,0.86763,0.74452,0.0034,0.3789,0.68101,0.80905,0.84077,0.74679,0.68874,0.80728,0.84195,0.75447,0.49531,1.05181,0.69243,0.00396,0,0.000948377,0.000948377,0.000948377
46,120.133,0.56057,0.82359,0.75019,0.00342,0.42426,0.74358,0.77377,0.84008,0.76535,0.74358,0.77377,0.8409,0.74394,0.45263,1.06875,0.68126,0.00374,0,0.000946048,0.000946048,0.000946048
47,122.525,0.55592,0.79144,0.75461,0.00327,0.35349,0.71182,0.78825,0.86305,0.7637,0.71126,0.78971,0.86169,0.76313,0.5731,1.05559,0.9312,0.00474,0,0.000943671,0.000943671,0.000943671
48,124.978,0.56075,0.73083,0.74452,0.00334,0.38646,0.77938,0.79318,0.90824,0.81417,0.77938,0.79318,0.90545,0.80365,0.51241,0.87822,0.79187,0.00416,0,0.000941245,0.000941245,0.000941245
49,127.402,0.54472,0.79486,0.69985,0.00355,0.38619,0.85589,0.75032,0.88355,0.7926,0.85589,0.75032,0.87821,0.78264,0.50094,0.78146,0.78401,0.00401,0,0.000938772,0.000938772,0.000938772
50,129.865,0.57618,0.81113,0.74195,0.00315,0.37306,0.7626,0.78342,0.86885,0.79728,0.7626,0.78342,0.8687,0.76936,0.46931,1.02826,0.83055,0.0039,0,0.000936251,0.000936251,0.000936251
51,132.24,0.56946,0.81071,0.711,0.00351,0.41219,0.7904,0.80584,0.86806,0.79949,0.7904,0.80584,0.86779,0.76623,0.47151,1.08768,0.6332,0.00385,0,0.000933683,0.000933683,0.000933683
52,134.693,0.5671,0.76565,0.68284,0.0031,0.38621,0.77345,0.83322,0.87888,0.80085,0.77345,0.83322,0.87823,0.7749,0.46886,0.95893,0.67393,0.00377,0,0.000931067,0.000931067,0.000931067
53,137.266,0.54846,0.7436,0.70801,0.00311,0.38163,0.74262,0.86469,0.87626,0.80728,0.74262,0.86469,0.87489,0.77729,0.46588,0.92639,0.57751,0.00377,0,0.000928405,0.000928405,0.000928405
54,139.713,0.55603,0.78252,0.72604,0.00334,0.34853,0.74105,0.87074,0.88314,0.79846,0.74105,0.87074,0.88314,0.78054,0.52138,1.02602,0.71853,0.00444,0,0.000925697,0.000925697,0.000925697
55,142.171,0.51907,0.69944,0.69526,0.00302,0.34674,0.76568,0.87874,0.89433,0.81306,0.76568,0.87874,0.89433,0.78803,0.50839,1.23269,0.77792,0.00425,0,0.000922942,0.000922942,0.000922942
